,;42448
.;33714
a;20115
0;8492
);6039
(;6014
film;4857
one;2903
movie;2385
it's;1883
like;1712
?;1570
:;1502
just;1339
will;1253
story;1207
also;1200
good;1189
even;1174
time;1170
can;1149
much;1026
character;1013
life;980
0;974
first;962
two;959
characters;953
see;951
way;915
get;883
films;872
0;814
best;807
many;780
really;775
make;772
little;768
people;767
great;743
new;718
never;716
scene;714
man;695
!;657
love;644
scenes;632
movies;627
world;619
doesn't;596
still;585
us;581
plot;574
he's;570
0;569
know;569
however;566
makes;560
another;559
back;557
performance;549
go;542
seen;537
don't;535
seems;530
something;526
end;520
work;512
though;509
may;502
now;498
director;490
although;488
made;488
role;485
years;484
take;471
action;469
almost;451
every;450
real;445
things;445
right;442
young;437
john;430
around;430
big;430
audience;424
enough;423
gets;421
last;420
find;419
quite;415
family;415
going;414
come;408
fact;406
cast;402
say;402
played;401
there's;400
ever;399
actually;398
takes;396
look;394
without;392
comedy;389
star;388
think;388
since;387
funny;385
better;385
*;384
comes;382
plays;380
long;380
isn't;379
old;378
yet;372
part;371
show;361
original;360
always;357
bad;355
thing;355
that's;350
lot;349
job;347
rather;342
year;342
away;339
place;339
day;339
american;337
screen;337
three;334
actors;327
gives;325
fun;324
sense;323
film's;321
bit;321
acting;320
far;320
times;319
picture;317
must;317
watch;316
making;315
course;314
men;312
goes;309
home;308
nothing;308
wife;307
become;306
effects;305
seem;303
interesting;301
point;299
together;299
set;296
especially;292
script;292
black;290
might;290
everything;290
help;287
different;283
special;282
instead;281
along;281
kind;280
anything;280
probably;279
performances;278
becomes;276
can't;275
hollywood;274
music;273
guy;267
high;267
true;266
want;265
least;265
actor;264
perhaps;263
i'm;263
feel;263
done;263
sure;261
woman;259
death;258
father;258
war;257
ending;256
minutes;253
small;252
moments;251
human;251
horror;250
trying;250
several;249
whose;249
give;248
city;246
mother;246
less;246
didn't;244
mind;243
shows;242
series;241
perfect;241
everyone;241
play;240
wants;239
begins;239
money;238
hard;238
pretty;235
friends;233
alien;231
often;231
next;228
whole;227
works;227
relationship;225
town;225
watching;225
entire;224
use;223
james;222
left;221
given;220
put;219
evil;219
final;218
dialogue;216
despite;216
found;216
night;215
turns;214
michael;213
david;213
case;211
completely;210
i've;210
sex;209
comic;209
jackie;208
looking;207
later;206
behind;206
able;205
soon;203
based;203
finds;203
simply;202
main;202
rest;201
dark;201
sequence;200
friend;199
couple;198
getting;198
second;197
named;197
humor;197
group;196
beautiful;196
finally;196
believe;196
got;195
certainly;195
including;194
turn;194
line;194
keep;194
throughout;194
side;194
lives;193
written;193
school;192
past;191
half;191
seeing;190
playing;190
person;189
girl;189
entertaining;187
others;187
lost;186
stars;185
tell;184
she's;183
sometimes;181
boy;181
nice;181
simple;181
anyone;180
shot;180
classic;178
0;178
house;178
live;177
strong;177
used;174
head;174
game;172
upon;172
dead;172
fiction;170
robert;170
violence;170
son;170
either;169
fine;169
full;168
style;168
days;167
book;167
run;166
idea;166
name;166
wrong;165
mr;165
wonderful;165
said;165
thought;165
worth;164
hand;164
supporting;164
nearly;164
drama;164
looks;164
they're;163
someone;163
directed;163
truly;163
direction;162
starts;162
order;161
exactly;161
children;161
kids;160
production;160
version;160
extremely;160
camera;159
voice;159
short;158
else;158
matter;158
face;158
reason;158
major;158
problem;157
called;157
moment;156
tom;156
knows;156
novel;155
white;155
opening;154
joe;154
try;154
